Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
1787,Home Mortgage,1503584.0,10+ years,0.0,14.0,23.0,427042.0,0.0,18.0,0.0,other,Short Term,104456.0,127243.0,15286.0,715.0,0
1788,Rent,631598.0,10+ years,0.0,12.0,14.8,400224.0,0.0,,0.0,debt consolidation,Short Term,154858.0,164521.0,7053.0,734.0,0
1789,Rent,,10+ years,0.0,14.0,12.9,408232.0,0.0,9.0,0.0,debt consolidation,Long Term,262130.0,192508.0,30901.0,,1
1790,Rent,1313622.0,10+ years,0.0,9.0,19.1,319220.0,1.0,53.0,1.0,home improvements,Long Term,760518.0,102011.0,20471.0,653.0,1
1791,Rent,,< 1 year,0.0,14.0,27.4,3567982.0,0.0,,0.0,debt consolidation,Long Term,658548.0,2431259.0,48833.0,,1
1792,Rent,,3 years,0.0,11.0,15.7,239250.0,0.0,,0.0,other,Long Term,768614.0,59299.0,23436.0,,1
1793,Rent,763496.0,10+ years,0.0,12.0,17.6,1700644.0,0.0,,0.0,debt consolidation,Short Term,232056.0,512601.0,17242.0,750.0,0
1794,Rent,925300.0,3 years,0.0,9.0,8.7,247852.0,0.0,,0.0,debt consolidation,Short Term,265628.0,157339.0,10255.0,723.0,0
1795,Home Mortgage,1021174.0,10+ years,0.0,18.0,17.5,1665774.0,0.0,,0.0,other,Short Term,99999999.0,487692.0,25019.0,733.0,0
1796,Rent,1483672.0,10+ years,0.0,17.0,21.0,319858.0,1.0,75.0,1.0,debt consolidation,Short Term,383856.0,170715.0,23121.0,700.0,0
1797,Own Home,1812581.0,3 years,0.0,17.0,17.3,1607056.0,0.0,,0.0,debt consolidation,Long Term,381656.0,845234.0,49997.0,723.0,1
1798,Home Mortgage,1037438.0,5 years,0.0,24.0,24.8,1386066.0,0.0,,0.0,home improvements,Short Term,111650.0,660782.0,23256.0,738.0,0
1799,Home Mortgage,1160634.0,< 1 year,0.0,21.0,29.6,2287142.0,0.0,12.0,0.0,debt consolidation,Short Term,246378.0,280478.0,11316.0,751.0,0
1800,Rent,1444285.0,8 years,0.0,8.0,35.0,810194.0,0.0,,0.0,debt consolidation,Long Term,660132.0,412129.0,11879.0,728.0,0
1801,Home Mortgage,1307124.0,2 years,0.0,8.0,14.1,388828.0,1.0,42.0,1.0,home improvements,Short Term,172964.0,60439.0,9150.0,742.0,0
1802,Rent,1043651.0,< 1 year,0.0,12.0,15.0,0.0,0.0,,0.0,debt consolidation,Short Term,175780.0,0.0,19394.0,720.0,1
1803,Home Mortgage,1163370.0,4 years,0.0,3.0,15.0,38170.0,0.0,25.0,0.0,other,Short Term,71852.0,28709.0,3471.0,736.0,1
1804,Rent,1651480.0,10+ years,0.0,11.0,20.2,1044340.0,0.0,6.0,0.0,debt consolidation,Short Term,631400.0,505989.0,23121.0,733.0,0
1805,Home Mortgage,1892172.0,7 years,0.0,9.0,22.7,1340966.0,0.0,,0.0,business loan,Short Term,402424.0,933432.0,29676.0,7250.0,1
1806,Home Mortgage,1445995.0,10+ years,0.0,16.0,15.1,723338.0,0.0,,0.0,medical bills,Short Term,321992.0,526623.0,28317.0,720.0,1
1807,Rent,1265381.0,10+ years,0.0,16.0,11.9,592944.0,0.0,54.0,0.0,debt consolidation,Short Term,225412.0,377929.0,28365.0,713.0,1
1808,Rent,1432562.0,1 year,0.0,11.0,18.1,762982.0,0.0,,0.0,other,Long Term,552926.0,408538.0,27469.0,614.0,1
1809,Home Mortgage,786030.0,5 years,0.0,4.0,13.1,21670.0,0.0,6.0,0.0,debt consolidation,Short Term,78562.0,7296.0,16638.0,700.0,0
1810,Rent,674842.0,< 1 year,0.0,10.0,7.0,203236.0,0.0,,0.0,other,Short Term,89298.0,107236.0,14115.0,691.0,0
1811,Home Mortgage,2562701.0,1 year,0.0,23.0,27.0,1183292.0,0.0,18.0,0.0,debt consolidation,Short Term,395648.0,400596.0,50827.0,721.0,0
1812,Own Home,962065.0,4 years,0.0,9.0,16.9,443586.0,1.0,,1.0,debt consolidation,Short Term,233926.0,114931.0,7584.0,721.0,0
1813,Rent,646133.0,8 years,0.0,14.0,12.7,297440.0,0.0,,0.0,debt consolidation,Short Term,125774.0,143849.0,18576.0,705.0,1
1814,Rent,642181.0,< 1 year,0.0,11.0,13.6,216634.0,0.0,8.0,0.0,debt consolidation,Short Term,183700.0,132278.0,9686.0,732.0,0
1815,Home Mortgage,1170666.0,10+ years,0.0,18.0,28.3,444510.0,1.0,,1.0,debt consolidation,Short Term,259798.0,226499.0,10634.0,697.0,0
1816,Home Mortgage,,10+ years,0.0,4.0,32.8,0.0,0.0,50.0,0.0,debt consolidation,Short Term,266244.0,0.0,6323.0,,0
1817,Home Mortgage,2105010.0,10+ years,0.0,27.0,33.0,1601358.0,0.0,45.0,0.0,debt consolidation,Long Term,712712.0,847780.0,56660.0,713.0,1
1818,Rent,1002915.0,10+ years,0.0,10.0,11.1,348392.0,0.0,60.0,0.0,debt consolidation,Long Term,215050.0,214529.0,13623.0,688.0,0
1819,Rent,1512096.0,10+ years,0.0,6.0,12.5,207944.0,0.0,,0.0,debt consolidation,Short Term,153208.0,132354.0,13861.0,735.0,0
1820,Home Mortgage,,10+ years,0.0,8.0,23.1,626142.0,0.0,,0.0,debt consolidation,Long Term,388366.0,304988.0,12174.0,,0
1821,Rent,744800.0,,0.0,11.0,15.3,265672.0,0.0,74.0,0.0,debt consolidation,Short Term,261250.0,161766.0,4854.0,697.0,0
1822,Rent,637089.0,2 years,0.0,6.0,16.9,395780.0,0.0,,0.0,debt consolidation,Long Term,323026.0,26657.0,4481.0,724.0,0
1823,Rent,,3 years,0.0,23.0,12.3,677820.0,0.0,,0.0,debt consolidation,Short Term,149556.0,440230.0,20730.0,,0
1824,Rent,1327872.0,5 years,0.0,5.0,9.0,125268.0,0.0,,0.0,debt consolidation,Short Term,153758.0,86222.0,4504.0,705.0,1
1825,Own Home,1947500.0,3 years,0.0,11.0,9.4,583924.0,0.0,,0.0,buy a car,Long Term,99999999.0,274854.0,24344.0,743.0,0
1826,Home Mortgage,,5 years,0.0,20.0,12.0,54692.0,0.0,27.0,0.0,moving,Short Term,46486.0,5187.0,7348.0,,1
1827,Rent,,7 years,0.0,27.0,18.7,264440.0,0.0,64.0,0.0,debt consolidation,Long Term,520718.0,64410.0,22798.0,,0
1828,Rent,,1 year,0.0,15.0,13.5,492492.0,0.0,73.0,0.0,debt consolidation,Short Term,42944.0,19988.0,2921.0,,0
1829,Rent,1008805.0,2 years,0.0,15.0,21.1,1721324.0,0.0,,0.0,debt consolidation,Short Term,427020.0,454898.0,10340.0,737.0,0
1830,Home Mortgage,689073.0,10+ years,0.0,8.0,15.8,239646.0,1.0,,1.0,debt consolidation,Short Term,219824.0,139707.0,12690.0,740.0,0
1831,Rent,1167702.0,3 years,0.0,6.0,18.3,322278.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,132202.0,8115.0,742.0,0
1832,Home Mortgage,1230554.0,10+ years,0.0,10.0,13.0,210430.0,1.0,6.0,0.0,debt consolidation,Short Term,99999999.0,158308.0,13126.0,739.0,0
1833,Home Mortgage,664544.0,3 years,0.0,13.0,13.5,205106.0,0.0,,0.0,debt consolidation,Short Term,214104.0,144001.0,9470.0,742.0,0
1834,Home Mortgage,,< 1 year,0.0,20.0,11.8,579348.0,0.0,,0.0,debt consolidation,Long Term,304018.0,267178.0,21990.0,,0
1835,Rent,1397222.0,2 years,0.0,11.0,9.3,906510.0,0.0,,0.0,debt consolidation,Long Term,569470.0,191805.0,14904.0,685.0,1
1836,Home Mortgage,522177.0,10+ years,0.0,10.0,31.5,445082.0,0.0,,0.0,other,Short Term,109604.0,233700.0,7137.0,746.0,0
1837,Home Mortgage,3696640.0,5 years,0.0,15.0,25.5,1237170.0,0.0,,0.0,debt consolidation,Long Term,630784.0,644290.0,62535.0,724.0,0
1838,Rent,1315636.0,3 years,0.0,11.0,18.9,2181850.0,0.0,12.0,0.0,other,Short Term,59840.0,700967.0,21050.0,728.0,0
1839,Home Mortgage,1807945.0,10+ years,0.0,23.0,15.6,1245200.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,596847.0,17025.0,636.0,0
1840,Rent,1261524.0,4 years,0.0,11.0,19.6,1470744.0,0.0,,0.0,debt consolidation,Short Term,644050.0,617310.0,17241.0,742.0,0
1841,Home Mortgage,2328450.0,7 years,0.0,11.0,18.7,364804.0,0.0,65.0,0.0,debt consolidation,Short Term,181170.0,138947.0,19598.0,743.0,0
1842,Home Mortgage,,2 years,0.0,11.0,16.0,459976.0,1.0,,1.0,debt consolidation,Short Term,261602.0,305881.0,23117.0,,1
1843,Home Mortgage,847647.0,6 years,0.0,15.0,17.9,235642.0,0.0,71.0,0.0,debt consolidation,Long Term,370788.0,141436.0,20273.0,691.0,0
1844,Home Mortgage,810692.0,4 years,0.0,7.0,28.0,773762.0,0.0,,0.0,debt consolidation,Short Term,134090.0,149682.0,3358.0,750.0,0
1845,Home Mortgage,2257162.0,10+ years,0.0,13.0,17.5,814836.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,403237.0,29531.0,749.0,0
1846,Home Mortgage,,9 years,0.0,13.0,19.6,320254.0,0.0,33.0,0.0,debt consolidation,Short Term,259644.0,220419.0,19340.0,,0
1847,Rent,1524218.0,6 years,0.0,4.0,14.3,888976.0,0.0,,0.0,debt consolidation,Long Term,518584.0,19190.0,1829.0,640.0,1
1848,Rent,2474199.0,1 year,0.0,12.0,16.1,645986.0,0.0,80.0,0.0,debt consolidation,Short Term,440748.0,365978.0,34639.0,741.0,0
1849,Home Mortgage,1492792.0,6 years,0.0,11.0,16.6,1519122.0,0.0,,0.0,debt consolidation,Short Term,350020.0,220419.0,13808.0,751.0,0
1850,Rent,1088548.0,10+ years,0.0,12.0,30.3,1348512.0,0.0,63.0,0.0,debt consolidation,Long Term,451484.0,682461.0,26397.0,718.0,1
1851,Home Mortgage,2862255.0,1 year,0.0,14.0,19.8,856658.0,0.0,,0.0,debt consolidation,Short Term,265144.0,398772.0,41741.0,747.0,0
1852,Home Mortgage,1303001.0,10+ years,0.0,9.0,18.8,655358.0,0.0,,0.0,debt consolidation,Short Term,323312.0,258096.0,25191.0,743.0,1
1853,Rent,661675.0,7 years,0.0,14.0,13.7,527274.0,0.0,19.0,0.0,debt consolidation,Short Term,99999999.0,226309.0,8050.0,730.0,0
1854,Rent,769177.0,4 years,0.0,13.0,12.7,380578.0,1.0,79.0,1.0,debt consolidation,Short Term,178046.0,81187.0,14358.0,727.0,0
1855,Home Mortgage,1009147.0,10+ years,0.0,16.0,25.9,874390.0,0.0,,0.0,debt consolidation,Long Term,490424.0,599583.0,25565.0,680.0,0
1856,Own Home,868604.0,4 years,0.0,7.0,11.3,1010724.0,0.0,,0.0,debt consolidation,Long Term,402292.0,375345.0,17951.0,694.0,0
1857,Rent,2644572.0,9 years,0.0,11.0,21.8,1188088.0,0.0,,0.0,debt consolidation,Short Term,544632.0,515090.0,23360.0,746.0,0
1858,Rent,643378.0,1 year,0.0,7.0,10.9,550770.0,0.0,,0.0,buy a car,Short Term,75438.0,74195.0,9329.0,736.0,0
1859,Home Mortgage,2056351.0,10+ years,0.0,17.0,14.0,1022714.0,0.0,,0.0,debt consolidation,Long Term,601744.0,391286.0,29132.0,718.0,0
1860,Rent,753920.0,2 years,2.0,8.0,17.1,202994.0,4.0,,1.0,debt consolidation,Short Term,196416.0,157776.0,13885.0,725.0,0
1861,Rent,1155390.0,10+ years,1.0,25.0,30.7,191818.0,2.0,,0.0,debt consolidation,Short Term,22308.0,78356.0,18968.0,740.0,0
1862,Home Mortgage,1245051.0,10+ years,0.0,17.0,17.8,719334.0,0.0,13.0,0.0,debt consolidation,Short Term,262174.0,370880.0,33616.0,6890.0,1
1863,Home Mortgage,1719310.0,10+ years,0.0,9.0,16.8,343244.0,0.0,,0.0,home improvements,Long Term,262526.0,168378.0,12293.0,725.0,0
1864,Rent,,5 years,0.0,8.0,10.2,365134.0,0.0,,0.0,debt consolidation,Short Term,249326.0,250382.0,11549.0,,0
1865,Home Mortgage,,4 years,0.0,9.0,17.1,260084.0,0.0,37.0,0.0,debt consolidation,Short Term,285934.0,75240.0,5749.0,,1
1866,Own Home,745864.0,1 year,0.0,12.0,5.6,546920.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,166744.0,5557.0,742.0,0
1867,Rent,761292.0,2 years,0.0,8.0,11.2,138886.0,0.0,73.0,0.0,other,Short Term,132220.0,88274.0,13450.0,740.0,0
1868,Rent,750880.0,4 years,0.0,11.0,7.4,504350.0,0.0,,0.0,debt consolidation,Short Term,104324.0,179892.0,18897.0,726.0,0
1869,Home Mortgage,1400072.0,10+ years,0.0,14.0,27.6,820556.0,1.0,23.0,1.0,debt consolidation,Short Term,77814.0,295507.0,24268.0,654.0,0
1870,Home Mortgage,1424012.0,10+ years,0.0,12.0,15.6,767360.0,0.0,,0.0,debt consolidation,Long Term,725054.0,440705.0,16851.0,713.0,1
1871,Home Mortgage,,3 years,0.0,3.0,15.3,242836.0,0.0,,0.0,debt consolidation,Short Term,116182.0,43206.0,1136.0,,0
1872,Home Mortgage,,10+ years,0.0,17.0,16.8,946022.0,0.0,22.0,0.0,home improvements,Short Term,286110.0,298205.0,21609.0,,1
1873,Home Mortgage,1387798.0,10+ years,0.0,8.0,17.9,440902.0,1.0,,1.0,debt consolidation,Short Term,129074.0,31597.0,23940.0,732.0,0
1874,Rent,1232036.0,6 years,1.0,9.0,10.4,779680.0,1.0,43.0,0.0,medical bills,Short Term,373098.0,26942.0,472.0,721.0,0
1875,Home Mortgage,2214507.0,< 1 year,0.0,9.0,25.8,735966.0,0.0,,0.0,debt consolidation,Long Term,780406.0,469072.0,11940.0,6860.0,1
1876,Rent,,10+ years,0.0,8.0,25.3,376772.0,0.0,9.0,0.0,debt consolidation,Short Term,348040.0,226138.0,26978.0,,0
1877,Home Mortgage,1916302.0,1 year,0.0,11.0,13.9,116270.0,0.0,55.0,0.0,debt consolidation,Short Term,115786.0,85956.0,14436.0,730.0,0
1878,Home Mortgage,950000.0,2 years,0.0,16.0,15.2,503492.0,0.0,,0.0,debt consolidation,Long Term,352000.0,221768.0,23433.0,687.0,1
1879,Home Mortgage,1433835.0,6 years,0.0,8.0,17.8,12701436.0,0.0,35.0,0.0,debt consolidation,Short Term,197384.0,1985462.0,14099.0,749.0,0
1880,Home Mortgage,1667535.0,5 years,0.0,15.0,17.5,2580226.0,0.0,68.0,0.0,debt consolidation,Short Term,263890.0,249584.0,11562.0,750.0,0
1881,Rent,,10+ years,0.0,14.0,18.7,455202.0,0.0,21.0,0.0,debt consolidation,Short Term,256102.0,117154.0,17000.0,,0
1882,Home Mortgage,928872.0,10+ years,0.0,9.0,33.2,451066.0,1.0,,1.0,debt consolidation,Long Term,473418.0,135185.0,12385.0,721.0,1
1883,Home Mortgage,,10+ years,0.0,19.0,19.0,1187076.0,0.0,78.0,0.0,debt consolidation,Long Term,487542.0,307553.0,31579.0,,1
1884,Own Home,1330532.0,2 years,0.0,9.0,16.9,202268.0,0.0,,0.0,debt consolidation,Short Term,176066.0,46816.0,20401.0,730.0,1
1885,Home Mortgage,2332440.0,< 1 year,0.0,16.0,21.7,2787532.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,2101666.0,55979.0,747.0,0
1886,Own Home,1243531.0,9 years,0.0,8.0,15.5,133012.0,0.0,12.0,0.0,debt consolidation,Short Term,221518.0,64106.0,13368.0,706.0,1
1887,Home Mortgage,,5 years,0.0,6.0,13.6,119724.0,0.0,,0.0,other,Short Term,91938.0,76209.0,15223.0,,0
1888,Own Home,577296.0,4 years,0.0,8.0,6.7,166936.0,0.0,,0.0,debt consolidation,Short Term,213906.0,65018.0,4484.0,726.0,1
1889,Own Home,968316.0,2 years,0.0,14.0,14.6,450714.0,0.0,,0.0,debt consolidation,Short Term,501248.0,274816.0,27517.0,733.0,0
1890,Rent,790419.0,< 1 year,0.0,22.0,23.7,382954.0,0.0,,0.0,debt consolidation,Short Term,156904.0,109478.0,8233.0,733.0,0
1891,Rent,944680.0,10+ years,0.0,13.0,15.3,386056.0,0.0,35.0,0.0,debt consolidation,Short Term,290202.0,213389.0,17162.0,709.0,0
1892,Rent,461491.0,1 year,0.0,8.0,28.3,517550.0,0.0,55.0,0.0,debt consolidation,Short Term,107734.0,219925.0,13191.0,7300.0,1
1893,Home Mortgage,1642303.0,10+ years,0.0,12.0,21.5,375452.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,74252.0,39826.0,748.0,0
1894,Rent,958094.0,8 years,0.0,6.0,17.6,0.0,0.0,21.0,0.0,other,Short Term,109780.0,0.0,11816.0,725.0,0
1895,Home Mortgage,1049085.0,10+ years,0.0,12.0,15.0,693154.0,0.0,20.0,0.0,debt consolidation,Long Term,542762.0,491473.0,22030.0,718.0,1
1896,Home Mortgage,1263158.0,9 years,0.0,18.0,23.2,2143900.0,0.0,,0.0,debt consolidation,Short Term,577170.0,666558.0,21789.0,745.0,0
1897,Home Mortgage,899783.0,10+ years,0.0,8.0,23.9,402732.0,0.0,38.0,0.0,debt consolidation,Long Term,350196.0,230261.0,16796.0,692.0,0
1898,Rent,1721457.0,3 years,0.0,5.0,12.5,93742.0,0.0,45.0,0.0,business loan,Short Term,243628.0,3477.0,17975.0,734.0,0
1899,Rent,1258959.0,< 1 year,0.0,10.0,11.2,396616.0,0.0,32.0,0.0,debt consolidation,Short Term,99999999.0,153102.0,17416.0,728.0,0
1900,Rent,1027957.0,10+ years,0.0,9.0,14.0,423280.0,1.0,,1.0,debt consolidation,Long Term,396748.0,230679.0,7838.0,6520.0,1
1901,Home Mortgage,810920.0,2 years,0.0,17.0,19.0,408782.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,163457.0,20118.0,747.0,0
1902,Rent,1048667.0,10+ years,0.0,11.0,14.6,680020.0,0.0,,0.0,debt consolidation,Short Term,229592.0,320074.0,15817.0,738.0,0
1903,Rent,1360191.0,3 years,0.0,10.0,10.8,350988.0,0.0,,0.0,debt consolidation,Long Term,449988.0,232503.0,36498.0,6810.0,1
1904,Own Home,1147448.0,8 years,0.0,16.0,24.6,1068430.0,0.0,,0.0,debt consolidation,Short Term,270226.0,370937.0,22949.0,745.0,0
1905,Home Mortgage,1053607.0,,0.0,5.0,9.4,152790.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,118085.0,19667.0,749.0,0
1906,Own Home,695020.0,5 years,0.0,10.0,23.0,53680.0,0.0,,0.0,other,Short Term,99999999.0,35416.0,13900.0,722.0,0
1907,Home Mortgage,,9 years,0.0,12.0,14.4,744326.0,0.0,,0.0,debt consolidation,Short Term,174636.0,627399.0,29999.0,,0
1908,Rent,,5 years,0.0,10.0,19.1,927894.0,0.0,,0.0,debt consolidation,Short Term,155210.0,294899.0,7679.0,,0
1909,Home Mortgage,837729.0,10+ years,0.0,5.0,17.9,76450.0,1.0,,1.0,debt consolidation,Short Term,147114.0,38285.0,17313.0,719.0,1
1910,Own Home,620958.0,< 1 year,0.0,13.0,14.9,422928.0,0.0,35.0,0.0,debt consolidation,Short Term,224686.0,115786.0,8072.0,721.0,0
1911,Rent,949620.0,5 years,0.0,11.0,14.4,676566.0,0.0,55.0,0.0,debt consolidation,Short Term,269280.0,268774.0,15590.0,744.0,0
1912,Home Mortgage,617785.0,8 years,0.0,7.0,8.6,409992.0,0.0,,0.0,debt consolidation,Short Term,215138.0,234403.0,19718.0,663.0,0
1913,Home Mortgage,,10+ years,0.0,6.0,31.7,404338.0,1.0,,1.0,debt consolidation,Short Term,441034.0,106856.0,8250.0,,0
1914,Home Mortgage,2458087.0,10+ years,0.0,12.0,25.6,724944.0,0.0,7.0,0.0,debt consolidation,Long Term,539066.0,353742.0,9627.0,730.0,0
1915,Rent,,6 years,0.0,6.0,9.2,265738.0,0.0,,0.0,debt consolidation,Long Term,223278.0,205865.0,6122.0,,1
1916,Home Mortgage,1879860.0,10+ years,0.0,9.0,12.9,274648.0,0.0,,0.0,debt consolidation,Short Term,353936.0,189753.0,25065.0,746.0,0
1917,Rent,745180.0,1 year,0.0,6.0,12.8,532972.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,257317.0,10122.0,737.0,0
1918,Home Mortgage,,4 years,0.0,14.0,15.0,106744.0,0.0,20.0,0.0,other,Short Term,104500.0,72827.0,16296.0,,0
1919,Home Mortgage,1454507.0,7 years,0.0,16.0,16.0,394900.0,0.0,15.0,0.0,debt consolidation,Short Term,99999999.0,190988.0,21090.0,720.0,0
1920,Home Mortgage,738549.0,,0.0,10.0,9.0,454608.0,0.0,72.0,0.0,other,Short Term,150700.0,126806.0,17971.0,695.0,1
1921,Home Mortgage,2829480.0,2 years,0.0,8.0,19.8,601018.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,349334.0,15704.0,737.0,0
1922,Own Home,673987.0,10+ years,0.0,8.0,13.5,390148.0,0.0,,0.0,debt consolidation,Short Term,222970.0,305938.0,15445.0,7260.0,1
1923,Home Mortgage,455715.0,,0.0,11.0,38.8,540210.0,0.0,,0.0,debt consolidation,Short Term,153164.0,219735.0,7975.0,744.0,1
1924,Rent,1059611.0,8 years,0.0,11.0,16.2,443630.0,0.0,22.0,0.0,debt consolidation,Short Term,99999999.0,237937.0,14128.0,745.0,0
1925,Home Mortgage,933280.0,1 year,0.0,13.0,12.5,795586.0,0.0,,0.0,home improvements,Long Term,146960.0,462422.0,19054.0,739.0,0
1926,Rent,1161109.0,10+ years,0.0,15.0,19.6,398992.0,1.0,63.0,1.0,debt consolidation,Short Term,260590.0,108889.0,29125.0,736.0,0
1927,Home Mortgage,1988217.0,6 years,0.0,27.0,11.4,1082994.0,0.0,,0.0,debt consolidation,Short Term,526196.0,369455.0,23693.0,747.0,0
1928,Home Mortgage,1148208.0,,2.0,8.0,22.0,489896.0,2.0,78.0,0.0,debt consolidation,Long Term,531806.0,247513.0,22582.0,737.0,0
1929,Home Mortgage,1306193.0,10+ years,0.0,10.0,21.0,607046.0,0.0,,0.0,debt consolidation,Short Term,259270.0,498579.0,33090.0,741.0,0
1930,Rent,1558304.0,9 years,0.0,14.0,12.0,191180.0,0.0,58.0,0.0,debt consolidation,Short Term,158422.0,41762.0,35192.0,724.0,0
1931,Home Mortgage,2773468.0,10+ years,0.0,8.0,29.0,3979206.0,0.0,12.0,0.0,debt consolidation,Short Term,99999999.0,3271629.0,43682.0,727.0,0
1932,Home Mortgage,868680.0,4 years,0.0,7.0,6.7,221188.0,0.0,,0.0,debt consolidation,Long Term,250338.0,133912.0,4322.0,714.0,0
1933,Own Home,1517416.0,10+ years,0.0,4.0,17.1,294382.0,0.0,,0.0,debt consolidation,Short Term,237204.0,216106.0,5994.0,709.0,0
1934,Home Mortgage,831231.0,8 years,0.0,6.0,14.1,126852.0,0.0,12.0,0.0,debt consolidation,Short Term,131252.0,95304.0,11707.0,736.0,0
1935,Home Mortgage,535876.0,,0.0,16.0,17.5,861762.0,0.0,13.0,0.0,debt consolidation,Long Term,248182.0,317794.0,12504.0,656.0,0
1936,Home Mortgage,822795.0,1 year,0.0,11.0,10.5,686334.0,0.0,,0.0,debt consolidation,Short Term,265870.0,183160.0,10765.0,747.0,0
1937,Home Mortgage,1360989.0,10+ years,0.0,12.0,23.4,1111462.0,0.0,,0.0,debt consolidation,Short Term,245960.0,289883.0,20075.0,750.0,0
1938,Rent,1423993.0,9 years,0.0,7.0,11.7,492514.0,0.0,,0.0,debt consolidation,Long Term,427812.0,302005.0,8259.0,698.0,0
1939,Rent,325926.0,5 years,0.0,7.0,28.9,141526.0,0.0,,0.0,debt consolidation,Short Term,80872.0,59527.0,4808.0,742.0,0
1940,Rent,951330.0,4 years,0.0,6.0,17.0,176330.0,0.0,,0.0,other,Short Term,139898.0,41876.0,2838.0,738.0,1
1941,Home Mortgage,1601092.0,10+ years,0.0,15.0,18.6,785620.0,0.0,50.0,0.0,debt consolidation,Short Term,323730.0,232731.0,26818.0,748.0,0
1942,Rent,,< 1 year,0.0,9.0,13.8,207218.0,0.0,9.0,0.0,debt consolidation,Short Term,110198.0,117572.0,12667.0,,1
1943,Rent,,5 years,2.0,14.0,14.6,607200.0,3.0,5.0,1.0,debt consolidation,Short Term,327140.0,116413.0,10815.0,,0
1944,Rent,794580.0,6 years,0.0,11.0,20.5,617122.0,0.0,,0.0,debt consolidation,Short Term,201960.0,187074.0,7151.0,739.0,1
1945,Rent,,2 years,0.0,16.0,13.1,349140.0,0.0,30.0,0.0,vacation,Short Term,216106.0,104633.0,11120.0,,1
1946,Rent,657286.0,2 years,0.0,6.0,8.4,100056.0,0.0,,0.0,debt consolidation,Short Term,208758.0,66614.0,8764.0,740.0,0
1947,Rent,,1 year,0.0,4.0,11.4,895312.0,0.0,,0.0,debt consolidation,Short Term,151250.0,167789.0,5940.0,,0
1948,Rent,978215.0,7 years,0.0,17.0,18.1,762938.0,0.0,76.0,0.0,debt consolidation,Short Term,326744.0,412471.0,22499.0,741.0,1
1949,Home Mortgage,,7 years,0.0,14.0,14.7,498432.0,0.0,,0.0,other,Long Term,433840.0,218253.0,24667.0,,1
1950,Home Mortgage,1836768.0,7 years,0.0,33.0,33.0,2597628.0,0.0,,0.0,debt consolidation,Long Term,694012.0,695457.0,36888.0,734.0,1
1951,Home Mortgage,1305395.0,7 years,0.0,13.0,23.4,583462.0,1.0,9.0,0.0,debt consolidation,Long Term,280720.0,238355.0,11531.0,648.0,0
1952,Home Mortgage,1619427.0,10+ years,0.0,10.0,16.4,736208.0,0.0,34.0,0.0,debt consolidation,Long Term,504042.0,467324.0,25911.0,733.0,0
1953,Rent,608057.0,8 years,0.0,11.0,28.6,250932.0,0.0,37.0,0.0,other,Short Term,110022.0,59375.0,9222.0,720.0,1
1954,Rent,808621.0,3 years,0.0,8.0,7.9,187132.0,0.0,32.0,0.0,other,Long Term,222926.0,92606.0,22035.0,710.0,0
1955,Own Home,558087.0,,0.0,9.0,14.5,159434.0,0.0,,0.0,other,Short Term,77550.0,100662.0,10278.0,708.0,0
1956,Rent,825664.0,6 years,0.0,10.0,8.8,262416.0,0.0,,0.0,debt consolidation,Short Term,68926.0,146414.0,22086.0,686.0,0
1957,Rent,1088795.0,6 years,0.0,8.0,9.7,304392.0,0.0,,0.0,debt consolidation,Short Term,225126.0,69141.0,19326.0,751.0,0
1958,Home Mortgage,2067010.0,10+ years,0.0,8.0,13.8,147444.0,0.0,41.0,0.0,debt consolidation,Short Term,217580.0,11970.0,29283.0,722.0,0
1959,Home Mortgage,1168519.0,10+ years,0.0,9.0,15.0,676390.0,0.0,8.0,0.0,debt consolidation,Long Term,365090.0,352830.0,11977.0,725.0,0
1960,Home Mortgage,1953314.0,3 years,0.0,7.0,26.3,667458.0,0.0,20.0,0.0,debt consolidation,Short Term,332618.0,352203.0,14064.0,747.0,0
1961,Home Mortgage,,9 years,0.0,7.0,13.6,114400.0,0.0,9.0,0.0,major purchase,Short Term,224422.0,85481.0,16252.0,,0
1962,Home Mortgage,1427280.0,10+ years,0.0,3.0,21.8,220264.0,0.0,,0.0,debt consolidation,Short Term,165264.0,145711.0,3497.0,710.0,0
1963,Rent,,2 years,0.0,7.0,22.3,73150.0,0.0,25.0,0.0,debt consolidation,Short Term,251196.0,23940.0,17432.0,,1
1964,Rent,,10+ years,0.0,21.0,20.4,2162138.0,0.0,,0.0,debt consolidation,Long Term,652938.0,883234.0,45402.0,,0
1965,Home Mortgage,754452.0,6 years,0.0,10.0,33.8,500368.0,0.0,,0.0,debt consolidation,Long Term,384912.0,420888.0,15089.0,668.0,1
